               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.043446,            0.011114,            0.017154,             0.41886,                0.95,              0.5967,             0.31306,            0.029534,           0.0051706,           0.0064015,           0.0085348,           0.0085348,           0.0085348
                  76,            0.046288,            0.011446,            0.012977,             0.41886,                0.95,              0.5967,             0.31306,            0.029534,           0.0051706,           0.0064015,            0.008515,            0.008515,            0.008515
                  77,            0.041639,            0.010309,              0.0183,             0.67676,                 0.9,             0.77299,             0.45451,            0.024236,           0.0052085,           0.0064193,           0.0084952,           0.0084952,           0.0084952
                  78,            0.044564,           0.0098797,            0.012592,             0.70928,               0.775,             0.84123,             0.48445,            0.036612,           0.0053104,           0.0066187,           0.0084754,           0.0084754,           0.0084754
                  79,            0.049507,             0.01022,             0.01471,             0.78266,             0.85144,             0.91036,             0.65622,            0.027617,           0.0049934,           0.0065028,           0.0084556,           0.0084556,           0.0084556
                  80,            0.045864,           0.0081631,            0.014151,             0.78266,             0.85144,             0.91036,             0.65622,            0.027617,           0.0049934,           0.0065028,           0.0084358,           0.0084358,           0.0084358
                  81,            0.041748,             0.01196,            0.016949,              0.7615,                0.95,             0.93537,             0.63028,            0.025433,           0.0048553,           0.0064282,            0.008416,            0.008416,            0.008416
                  82,             0.04101,            0.010938,            0.015641,             0.80449,             0.84389,             0.91675,             0.62956,            0.024915,            0.004949,           0.0063715,           0.0083962,           0.0083962,           0.0083962
                  83,            0.044773,            0.011645,            0.013712,             0.93384,             0.86823,              0.9608,             0.54643,            0.026708,           0.0050204,           0.0060043,           0.0083764,           0.0083764,           0.0083764
                  84,            0.042846,             0.01035,            0.014503,             0.93384,             0.86823,              0.9608,             0.54643,            0.026708,           0.0050204,           0.0060043,           0.0083566,           0.0083566,           0.0083566
